team,season,sos_sp,n_rated_opponents
Ball State,2001,-5.34,10
Baylor,2001,5.44,10
Boise State,2001,-7.5917,12
Boston College,2001,4.2727,11
Bowling Green,2001,-3.2727,11
Bucknell,2001,-3.8,1
Buffalo,2001,-9.8455,11
Cal State Northridge,2001,1.4,1
California,2001,9.5,11
Central Michigan,2001,-4.83,10
Chattanooga,2001,-1.0,1
Cincinnati,2001,-6.2091,11
Clemson,2001,6.05,10
Colorado,2001,8.1667,12
Colorado State,2001,0.6,11
Duke,2001,4.3636,11
East Carolina,2001,1.46,10
East Tennessee State,2001,12.0,1
Eastern Illinois,2001,-14.8,1
Eastern Kentucky,2001,-15.6,1
Eastern Michigan,2001,-7.9444,9
Eastern Washington,2001,-25.1,1
Florida,2001,8.6455,11
Florida State,2001,8.4182,11
Fresno State,2001,-3.0385,13
Furman,2001,-19.1,1
Georgia,2001,5.0273,11
Georgia Tech,2001,4.2727,11
Hawai'i,2001,-8.1364,11
Houston,2001,1.4273,11
Idaho,2001,-9.74,10
Idaho State,2001,-3.5,1
Illinois,2001,5.7545,11
Illinois State,2001,-1.4,1
Indiana,2001,8.5909,11
Indiana State,2001,-27.25,2
Iowa,2001,5.9818,11
Iowa State,2001,5.1,10
Jacksonville State,2001,-17.05,2
Kansas,2001,11.57,10
Kansas State,2001,6.8909,11
Kent State,2001,-1.32,10
Kentucky,2001,11.0545,11
LSU,2001,9.2667,12
Liberty,2001,2.95,2
Louisiana,2001,-11.31,10
Louisiana Tech,2001,-6.0455,11
Louisville,2001,-1.0727,11
Marshall,2001,-1.74,10
Maryland,2001,0.9909,11
Massachusetts,2001,15.4,1
McNeese,2001,10.8,1
Memphis,2001,1.62,10
Miami,2001,8.0273,11
Miami (OH),2001,-0.4583,12
Michigan,2001,8.2818,11
Michigan State,2001,5.2182,11
Middle Tennessee,2001,-13.7182,11
Minnesota,2001,5.68,10
Mississippi State,2001,11.1182,11
Missouri,2001,8.76,10
Missouri State,2001,-6.8,1
Montana,2001,-11.5,2
Montana State,2001,7.7,2
Murray State,2001,2.95,2
NC State,2001,1.8,11
Navy,2001,-4.22,10
Nebraska,2001,4.45,12
Nevada,2001,-3.7727,11
New Mexico,2001,-5.5545,11
New Mexico State,2001,-8.7667,12
Nicholls,2001,-21.0667,3
North Carolina,2001,6.1083,12
North Texas,2001,-9.3182,11
Northern Arizona,2001,8.8,1
Northern Illinois,2001,-2.12,10
