team,season,sos_sp,n_rated_opponents
Grambling,2005,13.0,1
Hawai'i,2005,-0.8091,11
Houston,2005,-5.07,10
Idaho,2005,-6.2273,11
Idaho State,2005,-12.5,1
Illinois,2005,11.6545,11
Illinois State,2005,13.0,1
Indiana,2005,9.25,10
Indiana State,2005,25.4,1
Iowa,2005,7.71,10
Iowa State,2005,5.65,10
Jacksonville State,2005,2.3,1
Kansas,2005,9.56,10
Kansas State,2005,3.5273,11
Kent State,2005,-7.15,10
Kentucky,2005,6.89,10
LSU,2005,5.5182,11
Liberty,2005,1.4,1
Louisiana,2005,-14.32,10
Louisiana Tech,2005,-7.61,10
Louisville,2005,-2.7,11
Maine,2005,10.3,1
Marshall,2005,-1.24,10
Maryland,2005,5.0182,11
Massachusetts,2005,-16.3,1
McNeese,2005,1.1,1
Memphis,2005,-1.13,10
Miami,2005,1.2364,11
Miami (OH),2005,-9.4182,11
Michigan,2005,12.1636,11
Michigan State,2005,9.1545,11
Middle Tennessee,2005,-11.9182,11
Minnesota,2005,9.4818,11
Mississippi State,2005,6.56,10
Missouri,2005,4.9636,11
Missouri State,2005,10.6,1
Montana,2005,18.1,1
Montana State,2005,1.1,1
Murray State,2005,-7.0,1
NC State,2005,5.73,10
Navy,2005,-8.3,11
Nebraska,2005,9.35,10
Nevada,2005,-6.68,10
New Mexico,2005,-2.6,11
New Mexico State,2005,-0.5636,11
Nicholls,2005,-4.7,1
North Carolina,2005,10.9091,11
North Texas,2005,-10.4455,11
Northern Arizona,2005,1.5,1
Northern Illinois,2005,-5.0545,11
Northern Iowa,2005,20.9,1
Northwestern,2005,11.2818,11
Northwestern State,2005,-20.15,2
Notre Dame,2005,8.1,11
Ohio,2005,-2.9727,11
Ohio State,2005,11.3455,11
Oklahoma,2005,10.5364,11
Oklahoma State,2005,7.81,10
Ole Miss,2005,5.3,10
Oregon,2005,9.37,10
Oregon State,2005,9.95,10
Penn State,2005,7.6818,11
Pittsburgh,2005,3.45,10
Portland State,2005,3.0,2
Purdue,2005,9.2818,11
Rice,2005,0.0636,11
Richmond,2005,-3.8,1
Rutgers,2005,-1.35,10
SE Louisiana,2005,-17.1,1
SMU,2005,-2.5909,11
Sacramento State,2005,18.4,1
Sam Houston,2005,12.2,2
Samford,2005,1.2,1
San Diego State,2005,1.45,12
San José State,2005,-7.1778,9
South Carolina,2005,5.4636,11
South Florida,2005,7.13,10
Southeast Missouri State,2005,-19.0,1
Southern Illinois,2005,-13.9,1
Southern Miss,2005,-1.42,10
Stanford,2005,12.81,10
Syracuse,2005,4.0818,11
TCU,2005,-2.5545,11
Temple,2005,6.1909,11
Tennessee,2005,6.8727,11
Tennessee Tech,2005,5.9,1
Texas,2005,6.9583,12
Texas A&M,2005,11.27,10
Texas Southern,2005,2.4,1
Texas State,2005,7.3,1
Texas Tech,2005,7.2556,9
The Citadel,2005,0.6,2
Toledo,2005,-12.19,10
Troy,2005,-13.45,10
Tulane,2005,-6.08,10
Tulsa,2005,-5.2667,12
UAB,2005,-6.51,10
UC Davis,2005,0.6,1
UCF,2005,-5.1083,12
UCLA,2005,7.1909,11
UConn,2005,-0.94,10
UL Monroe,2005,-11.45,10
UNLV,2005,-2.24,10
USC,2005,9.5667,12
UT Martin,2005,-15.6,1
UTEP,2005,-9.07,10
Utah,2005,-3.6727,11
Utah State,2005,-3.25,10
VMI,2005,-20.2,1
Vanderbilt,2005,4.26,10
Villanova,2005,4.0,1
Virginia,2005,1.3273,11
Virginia Tech,2005,3.6167,12
Wake Forest,2005,6.4091,11
Washington,2005,12.68,10
Washington State,2005,9.9889,9
Weber State,2005,10.6,1
West Virginia,2005,4.41,10
Western Carolina,2005,-9.9,1
Western Illinois,2005,7.6,1
Western Kentucky,2005,-1.4,2
Western Michigan,2005,-10.36,10
William & Mary,2005,-9.4,1
Wisconsin,2005,4.5083,12
Wofford,2005,15.8,1
Wyoming,2005,-2.1273,11
Youngstown State,2005,6.8,1
Air Force,2006,1.8417,12
Akron,2006,-8.3,12
Alabama,2006,4.825,12
Alabama State,2006,-11.5,1
Alcorn State,2006,-15.0,1
App State,2006,0.2,1
Arizona,2006,12.6909,11
Arizona State,2006,6.7727,11
Arkansas,2006,8.5083,12
Arkansas State,2006,-12.1,12
Army,2006,-2.8909,11
Auburn,2006,4.7833,12
BYU,2006,-2.4167,12
Ball State,2006,-7.2455,11
Baylor,2006,9.2727,11
Boise State,2006,-5.5,11
Boston College,2006,3.7091,11
Bowling Green,2006,-9.975,12
Buffalo,2006,-3.75,12
Cal Poly,2006,-7.5,2
California,2006,8.2,11
Central Michigan,2006,-7.9154,13
Chattanooga,2006,-13.2,1
Cincinnati,2006,10.4545,11
Clemson,2006,0.8583,12
Colorado,2006,8.9636,11
Colorado State,2006,0.8273,11
Duke,2006,8.3091,11
East Carolina,2006,-2.5667,12
Eastern Illinois,2006,5.15,2
Eastern Kentucky,2006,7.9,1
Eastern Michigan,2006,-7.5,12
Eastern Washington,2006,18.35,2
Florida,2006,11.975,12
Florida A&M,2006,13.9,1
Florida Atlantic,2006,-7.2727,11
Florida International,2006,-8.225,12
Florida State,2006,3.2667,12
Fresno State,2006,-1.6333,12
Furman,2006,-6.2,1
Georgia,2006,7.4182,11
Georgia Tech,2006,4.9667,12
Grambling,2006,7.6,1
Hawai'i,2006,-5.4917,12
Hofstra,2006,-7.9,1
Houston,2006,-4.425,12
Howard,2006,14.8,1
Idaho,2006,-2.2091,11
Idaho State,2006,-19.1,2
Illinois,2006,5.6545,11
Illinois State,2006,5.8,1
Indiana,2006,6.2455,11
Indiana State,2006,0.95,2
Iowa,2006,4.2273,11
Iowa State,2006,8.7455,11
Jacksonville State,2006,-6.7,1
Kansas,2006,3.3,11
Kansas State,2006,5.7182,11
Kent State,2006,-12.075,12
Kentucky,2006,10.1909,11
LSU,2006,3.7667,12
Liberty,2006,6.5,1
Louisiana,2006,-9.8455,11
Louisiana Tech,2006,-2.1833,12
Louisville,2006,3.4417,12
Maine,2006,14.8,1
Marshall,2006,-1.3455,11
Maryland,2006,5.8455,11
Massachusetts,2006,-1.9,1
McNeese,2006,0.55,2
Memphis,2006,-3.0273,11
Miami,2006,4.5364,11
Miami (OH),2006,-6.625,12
Michigan,2006,4.975,12
Michigan State,2006,2.7583,12
Middle Tennessee,2006,-6.0818,11
Minnesota,2006,6.0091,11
Mississippi State,2006,10.6818,11
Missouri,2006,5.5273,11
Missouri State,2006,13.7,1
Montana,2006,13.4,1
Montana State,2006,1.8,1
Murray State,2006,14.4,1
NC State,2006,5.3727,11
Navy,2006,-8.8545,11
Nebraska,2006,7.3333,12
Nevada,2006,-6.4833,12
New Hampshire,2006,-4.9,1
New Mexico,2006,0.6909,11
New Mexico State,2006,-6.19,10
Nicholls,2006,-3.75,2
North Carolina,2006,8.5364,11
North Carolina A&T,2006,-19.3,1
North Dakota State,2006,-1.85,2
North Texas,2006,-11.8667,12
Northeastern,2006,21.0,1
Northern Arizona,2006,12.65,2
Northern Illinois,2006,-8.9091,11
Northern Iowa,2006,-6.7,1
Northwestern,2006,5.5455,11
Northwestern State,2006,0.0333,3
Notre Dame,2006,2.975,12
Ohio,2006,-6.75,12
Ohio State,2006,3.9,12
Oklahoma,2006,5.4538,13
Oklahoma State,2006,5.7636,11
Ole Miss,2006,9.5818,11
Oregon,2006,8.1182,11
Oregon State,2006,6.825,12
Penn State,2006,3.6364,11
Pittsburgh,2006,5.7273,11
Portland State,2006,9.4333,3
Purdue,2006,2.85,12
Rhode Island,2006,-2.9,1
Rice,2006,-1.95,12
Richmond,2006,-19.5,1
Rutgers,2006,5.3455,11
SE Louisiana,2006,2.4667,3
SMU,2006,-6.4091,11
Sacramento State,2006,18.7,1
Sam Houston,2006,7.1,2
Samford,2006,13.5,1
San Diego State,2006,3.0364,11
San José State,2006,-8.2364,11
South Carolina,2006,7.6091,11
South Florida,2006,4.0,11
Southeast Missouri State,2006,20.6,1
Southern Illinois,2006,-9.9,1
Southern Miss,2006,0.5333,12
Southern Utah,2006,-19.6,1
Stanford,2006,8.9167,12
Stephen F. Austin,2006,0.55,2
Syracuse,2006,8.5,12
TCU,2006,-1.6545,11
Temple,2006,-0.4833,12
Tennessee,2006,9.8583,12
Tennessee State,2006,1.9,1
Tennessee Tech,2006,-13.5,1
Texas,2006,6.1273,11
Texas A&M,2006,3.9636,11
Texas Southern,2006,-10.2,1
Texas State,2006,1.7,1
Texas Tech,2006,7.1364,11
The Citadel,2006,12.25,2
Toledo,2006,-5.1818,11
Troy,2006,-10.4182,11
Tulane,2006,-1.1,12
Tulsa,2006,-4.6091,11
UAB,2006,-2.825,12
UC Davis,2006,17.3,1
UCF,2006,0.0091,11
UCLA,2006,7.4417,12
UConn,2006,6.1182,11
UL Monroe,2006,-9.0273,11
UNLV,2006,2.8091,11
USC,2006,8.4667,12
UT Martin,2006,-9.5,1
UTEP,2006,-5.1583,12
Utah,2006,-0.6818,11
Utah State,2006,1.7917,12
VMI,2006,-24.3,1
Vanderbilt,2006,7.5091,11
Villanova,2006,-10.3,1
Virginia,2006,3.8417,12
Virginia Tech,2006,4.1545,11
Wake Forest,2006,3.9417,12
Washington,2006,8.2,12
Washington State,2006,5.8167,12
Weber State,2006,-5.4,1
West Virginia,2006,5.2455,11
Western Carolina,2006,26.5,1
Western Illinois,2006,19.1,1
Western Kentucky,2006,17.8,1
Western Michigan,2006,-8.5833,12
William & Mary,2006,4.6,1
Wisconsin,2006,-1.6636,11
Wofford,2006,19.1,1
Wyoming,2006,-0.3,12
Youngstown State,2006,12.7,1
Air Force,2007,-4.4182,11
Akron,2007,-7.6667,12
Alabama,2007,8.8273,11
Alcorn State,2007,-21.7,1
App State,2007,13.3,1
Arizona,2007,11.6909,11
Arizona State,2007,6.5917,12
Arkansas,2007,4.8545,11
Arkansas State,2007,-9.2333,12
Arkansas-Pine Bluff,2007,-18.7,1
Army,2007,-1.9182,11
Auburn,2007,11.6818,11
BYU,2007,0.7,11
Ball State,2007,-9.9167,12
Baylor,2007,10.9818,11
Boise State,2007,-8.4455,11
Boston College,2007,3.8,12
Bowling Green,2007,-11.1,12
Buffalo,2007,-7.0083,12
Cal Poly,2007,-25.5,1
California,2007,8.1,12
Central Arkansas,2007,-14.8,1
Central Connecticut,2007,-12.1,1
Central Michigan,2007,-7.3333,12
Charleston Southern,2007,12.4,1
Chattanooga,2007,-2.25,2
Cincinnati,2007,4.8,11
Clemson,2007,2.5545,11
Colorado,2007,9.1333,12
Colorado State,2007,2.6182,11
Delaware,2007,-9.8,1
Delaware State,2007,-12.4,1
Duke,2007,4.95,12
East Carolina,2007,-1.6333,12
Eastern Illinois,2007,12.4,1
Eastern Kentucky,2007,-4.55,2
Eastern Michigan,2007,-4.6636,11
Eastern Washington,2007,15.4,1
Elon,2007,15.8,1
Florida,2007,7.9167,12
Florida Atlantic,2007,-5.825,12
Florida International,2007,-3.4,12
Florida State,2007,5.725,12
Fresno State,2007,-3.0091,11
Furman,2007,16.2,1
Gardner-Webb,2007,-4.65,2
Georgia,2007,11.9364,11
Georgia Southern,2007,-7.7,1
Georgia Tech,2007,3.1091,11
Grambling,2007,-6.75,2
Hawai'i,2007,-10.02,10
Houston,2007,-4.9091,11
Howard,2007,-24.8,1
Idaho,2007,-3.2545,11
Idaho State,2007,11.6,1
Illinois,2007,6.7727,11
Illinois State,2007,21.4,1
Indiana,2007,2.5364,11
Indiana State,2007,-11.35,2
Iowa,2007,0.4667,12
Iowa State,2007,12.8091,11
Jacksonville State,2007,-12.9,1
James Madison,2007,1.9,1
Kansas,2007,-0.4727,11
Kansas State,2007,7.5636,11
Kent State,2007,-7.0636,11
Kentucky,2007,11.5818,11
LSU,2007,7.8692,13
Liberty,2007,-12.8,1
Louisiana,2007,-8.6364,11
Louisiana Tech,2007,-1.9909,11
Louisville,2007,8.0182,11
Maine,2007,8.5,1
Marshall,2007,-0.2636,11
Maryland,2007,6.8636,11
Massachusetts,2007,16.7,1
McNeese,2007,-22.3,1
Memphis,2007,-9.6818,11
Miami,2007,3.0917,12
Miami (OH),2007,-7.2692,13
Michigan,2007,6.6818,11
Michigan State,2007,5.1417,12
Middle Tennessee,2007,-9.725,12
Minnesota,2007,4.8909,11
Mississippi State,2007,10.7727,11
Missouri,2007,11.6417,12
Missouri State,2007,17.5,1
Montana State,2007,7.6,1
Morehead State,2007,-22.5,1
Murray State,2007,12.1,1
NC State,2007,7.4818,11
Navy,2007,-8.1455,11
Nebraska,2007,11.25,12
Nevada,2007,-7.3818,11
New Hampshire,2007,-9.1,1
New Mexico,2007,-1.6182,11
New Mexico State,2007,-3.8818,11
Nicholls,2007,-9.3,2
Norfolk State,2007,14.3,1
North Carolina,2007,5.3818,11
North Carolina Central,2007,-22.5,1
North Dakota State,2007,-9.1,2
North Texas,2007,-9.9917,12
Northeastern,2007,-2.4,1
Northern Arizona,2007,7.3,1
Northern Colorado,2007,12.4,1
Northern Illinois,2007,-10.4273,11
Northern Iowa,2007,-9.1,1
Northwestern,2007,2.3,11
Northwestern State,2007,11.1,2
Notre Dame,2007,7.6417,12
Ohio,2007,-11.8455,11
Ohio State,2007,4.0182,11
Oklahoma,2007,3.7,13
Oklahoma State,2007,12.4273,11
Ole Miss,2007,11.9091,11
Oregon,2007,8.6167,12
Oregon State,2007,12.1727,11
Penn State,2007,1.05,12
Pittsburgh,2007,6.1455,11
Portland State,2007,-12.6,1
Purdue,2007,3.2636,11
Rhode Island,2007,-28.4,1
Rice,2007,-2.4,11
Richmond,2007,2.5,1
Rutgers,2007,2.3182,11
SE Louisiana,2007,-3.1,3
SMU,2007,-4.9417,12
Sacramento State,2007,3.1,2
Sam Houston,2007,13.1,1
Samford,2007,8.7,1
San Diego State,2007,4.6273,11
San José State,2007,-3.6455,11
South Carolina,2007,12.1091,11
South Carolina State,2007,10.95,2
South Florida,2007,8.1818,11
Southeast Missouri State,2007,17.5,1
Southern Illinois,2007,-17.0,1
Southern Miss,2007,-5.3,11
Stanford,2007,8.625,12
Syracuse,2007,8.0333,12
TCU,2007,-0.775,12
Temple,2007,-9.6333,12
Tennessee,2007,9.5462,13
Tennessee Tech,2007,20.7,1
Texas,2007,5.075,12
Texas A&M,2007,11.0364,11
Texas Southern,2007,-5.85,2
Texas State,2007,-13.6,1
Texas Tech,2007,4.1364,11
The Citadel,2007,10.4,1
Toledo,2007,-6.9182,11
Troy,2007,-6.875,12
Tulane,2007,-6.6091,11
Tulsa,2007,-6.3,13
UAB,2007,-1.7,11
UC Davis,2007,-16.0,1
UCF,2007,-3.6846,13
UCLA,2007,10.2083,12
UConn,2007,2.9636,11
UL Monroe,2007,-8.0636,11
UNLV,2007,0.7917,12
USC,2007,4.9083,12
UT Martin,2007,-0.5,1
UTEP,2007,-3.2273,11
Utah,2007,0.0333,12
Utah State,2007,-2.3,12
Vanderbilt,2007,9.3455,11
Villanova,2007,5.9,1
Virginia,2007,1.4333,12
Virginia Tech,2007,6.2833,12
WVU Tech,2007,-22.5,1
Wake Forest,2007,0.75,12
Washington,2007,11.8385,13
Washington State,2007,7.1,12
Weber State,2007,13.1,1
West Virginia,2007,4.1667,12
Western Carolina,2007,18.2,2
Western Illinois,2007,12.7,1
Western Kentucky,2007,-3.4833,6
Western Michigan,2007,-4.5909,11
William & Mary,2007,19.3,1
Wisconsin,2007,5.1636,11
Wofford,2007,-1.1,1
Wyoming,2007,-0.6917,12
Youngstown State,2007,29.2,1
Air Force,2008,-1.6273,11
Akron,2008,-6.175,12
Alabama,2008,4.9923,13
Alabama A&M,2008,-26.7,1
Alabama State,2008,-10.3,1
Alcorn State,2008,-8.35,2
App State,2008,20.8,2
Arizona,2008,1.1083,12
Arizona State,2008,6.9909,11
Arkansas,2008,10.0455,11
Arkansas State,2008,-7.9455,11
Army,2008,-7.4727,11
Auburn,2008,6.4,11
BYU,2008,-4.8818,11
Ball State,2008,-10.25,12
Baylor,2008,13.0091,11
Boise State,2008,-7.0364,11
Boston College,2008,5.4,12
Bowling Green,2008,-6.0333,12
Buffalo,2008,-2.4385,13
Cal Poly,2008,-3.7,2
California,2008,5.3917,12
Central Arkansas,2008,7.0,1
Central Michigan,2008,-3.8091,11
Charleston Southern,2008,-2.45,2
Chattanooga,2008,25.55,2
Cincinnati,2008,0.9167,12
Clemson,2008,7.76,10
Coastal Carolina,2008,29.5,1
Colorado,2008,12.5,11
Colorado State,2008,2.1636,11
Delaware,2008,7.6,1
Delaware State,2008,-8.5,1
Duke,2008,5.4545,11
East Carolina,2008,-1.6769,13
Eastern Illinois,2008,1.65,2
Eastern Kentucky,2008,-6.75,2
Eastern Michigan,2008,-2.4727,11
Eastern Washington,2008,10.15,2
Florida,2008,10.3833,12
Florida Atlantic,2008,-7.6917,12
Florida International,2008,-6.725,12
Florida State,2008,9.92,10
Fresno State,2008,-6.4833,12
Furman,2008,8.1,1
Gardner-Webb,2008,8.6,1
Georgia,2008,9.3,11
Georgia Southern,2008,20.9,1
Georgia Tech,2008,7.65,10
Grambling,2008,0.9,1
Hawai'i,2008,-2.925,12
Hofstra,2008,4.9,1
Houston,2008,-1.8727,11
Idaho,2008,-5.3273,11
Idaho State,2008,-4.5,2
Illinois,2008,9.2364,11
Illinois State,2008,-4.2,1
Indiana,2008,7.3,11
Indiana State,2008,-11.8,2
Iowa,2008,4.4364,11
Iowa State,2008,8.0545,11
Jacksonville State,2008,8.6,1
James Madison,2008,-6.7,1
Kansas,2008,10.5273,11
Kansas State,2008,5.2909,11
Kent State,2008,-3.9455,11
Kentucky,2008,4.7545,11
LSU,2008,5.2364,11
Louisiana,2008,-8.0083,12
Louisiana Tech,2008,-7.8273,11
Louisville,2008,0.9364,11
Maine,2008,25.5,1
Marshall,2008,1.6727,11
Maryland,2008,4.4909,11
Massachusetts,2008,23.0,1
McNeese,2008,10.2,1
Memphis,2008,-4.7636,11
Miami,2008,5.4364,11
Miami (OH),2008,-2.7,11
Michigan,2008,7.3917,12
Michigan State,2008,7.125,12
Middle Tennessee,2008,-10.5917,12
Minnesota,2008,5.7182,11
Mississippi State,2008,5.3818,11
Missouri,2008,10.55,12
Missouri State,2008,23.4,1
Montana State,2008,4.5,2
Morgan State,2008,2.4,1
Murray State,2008,-15.2,2
NC State,2008,8.0,11
Navy,2008,-1.6636,11
Nebraska,2008,5.8333,12
Nevada,2008,-4.4545,11
New Hampshire,2008,-20.3,1
New Mexico,2008,-0.2667,12
New Mexico State,2008,-4.2545,11
Nicholls,2008,-3.4,1
Norfolk State,2008,-1.8,1
North Carolina,2008,4.9818,11
North Dakota State,2008,-14.5,1
North Texas,2008,-5.55,12
Northeastern,2008,-0.15,2
Northern Arizona,2008,3.4,1
Northern Colorado,2008,2.4,1
Northern Illinois,2008,-3.4727,11
Northern Iowa,2008,12.2,1
Northwestern,2008,2.8909,11
Northwestern State,2008,4.0,1
Notre Dame,2008,1.8917,12
Ohio,2008,-4.1455,11
Ohio State,2008,9.3182,11
Oklahoma,2008,12.6833,12
Oklahoma State,2008,9.2909,11
Ole Miss,2008,5.2727,11
Oregon,2008,4.625,12
Oregon State,2008,8.1417,12
Penn State,2008,5.4636,11
Pittsburgh,2008,2.4417,12
Portland State,2008,-17.5,1
Purdue,2008,9.8818,11
Rhode Island,2008,11.0,1
Rice,2008,-3.9083,12
Richmond,2008,-0.6,1
Rutgers,2008,0.1818,11
SE Louisiana,2008,-9.25,2
SMU,2008,1.8818,11
Sacramento State,2008,-3.3,1
Sam Houston,2008,16.0,1
Samford,2008,17.1,1
San Diego State,2008,-1.6818,11
San José State,2008,-6.0273,11
South Carolina,2008,10.0727,11
South Carolina State,2008,-1.5,2
South Dakota State,2008,-2.8,1
South Florida,2008,-0.1636,11
Southeast Missouri State,2008,24.0,1
Southern,2008,6.4,1
Southern Illinois,2008,7.3,1
Southern Miss,2008,-4.0167,12
Southern Utah,2008,-0.7,1
Stanford,2008,6.8667,12
Stephen F. Austin,2008,19.2,1
Syracuse,2008,6.6364,11
TCU,2008,-0.3909,11
Temple,2008,-6.2333,12
Tennessee,2008,4.0583,12
Tennessee Tech,2008,-3.05,2
Texas,2008,9.4083,12
Texas A&M,2008,8.2,12
Texas Southern,2008,-9.5,1
Texas State,2008,-18.5,1
Texas Tech,2008,11.35,10
The Citadel,2008,23.75,2
Toledo,2008,-3.4167,12
Towson,2008,-3.5,1
Troy,2008,-6.7455,11
Tulane,2008,-1.55,12
Tulsa,2008,-7.0417,12
UAB,2008,-1.0636,11
UC Davis,2008,-13.2,1
UCF,2008,0.2,11
UCLA,2008,7.7167,12
UConn,2008,1.8909,11
UL Monroe,2008,-7.4,11
UNLV,2008,-0.5167,12
USC,2008,5.3083,12
UT Martin,2008,4.7,2
UTEP,2008,-3.3583,12
Utah,2008,-2.0455,11
Utah State,2008,-2.1833,12
VMI,2008,-9.3,1
Vanderbilt,2008,6.0,12
Villanova,2008,6.2,1
Virginia,2008,9.1909,11
Virginia Tech,2008,5.7333,12
Wake Forest,2008,5.925,12
Washington,2008,12.0417,12
Washington State,2008,9.0917,12
Weber State,2008,5.3,2
West Virginia,2008,1.0091,11
Western Carolina,2008,18.7,1
Western Illinois,2008,4.8,1
Western Kentucky,2008,-3.14,10
Western Michigan,2008,-5.4909,11
William & Mary,2008,1.8,1
Wisconsin,2008,6.8273,11
Wofford,2008,7.8,1
Wyoming,2008,1.6727,11
Youngstown State,2008,22.7,1
Air Force,2009,-2.8545,11
Akron,2009,-5.6091,11
Alabama,2009,10.4333,12
Alcorn State,2009,2.95,2
App State,2009,-2.3,1
Arizona,2009,7.2727,11
Arizona State,2009,5.6,11
Arkansas,2009,12.1091,11
Arkansas State,2009,-9.0636,11
Army,2009,-8.9,11
Auburn,2009,10.9727,11
BYU,2009,-1.575,12
Ball State,2009,-8.1273,11
Baylor,2009,11.6364,11
Boise State,2009,-7.1583,12
Boston College,2009,5.8727,11
Bowling Green,2009,-5.325,12
Buffalo,2009,-6.1,11
Cal Poly,2009,-16.9,2
California,2009,5.0909,11
Central Arkansas,2009,-18.3,2
Central Michigan,2009,-7.2333,12
Charleston Southern,2009,17.8,2
Chattanooga,2009,30.2,1
Cincinnati,2009,2.4455,11
Clemson,2009,8.65,12
Coastal Carolina,2009,2.25,2
Colorado,2009,7.0667,12
Colorado State,2009,-0.7091,11
Delaware,2009,-2.9,1
Delaware State,2009,8.2,1
Duke,2009,5.78,10
East Carolina,2009,-0.7833,12
Eastern Illinois,2009,21.9,1
Eastern Kentucky,2009,-2.3,2
Eastern Michigan,2009,-6.1583,12
Eastern Washington,2009,6.5,1
Elon,2009,3.3,1
Florida,2009,8.225,12
Florida A&M,2009,25.0,1
Florida Atlantic,2009,-9.9833,12
Florida International,2009,-5.0583,12
Florida State,2009,10.9455,11
Fresno State,2009,-3.6182,11
Furman,2009,14.6,2
Gardner-Webb,2009,-5.5,2
Georgia,2009,13.4364,11
Georgia Southern,2009,8.5,1
Georgia Tech,2009,9.925,12
Grambling,2009,14.0,1
Hawai'i,2009,-6.3333,12
Hofstra,2009,-12.0,1
Houston,2009,-3.125,12
Howard,2009,3.1,1
Idaho,2009,-6.2333,12
Idaho State,2009,15.25,2
Illinois,2009,8.0545,11
Illinois State,2009,-5.7,1
Indiana,2009,4.6909,11
Indiana State,2009,-5.4,1
Iowa,2009,5.1091,11
Iowa State,2009,4.2364,11
Jackson State,2009,4.7,1
Jacksonville State,2009,9.25,2
James Madison,2009,-4.1,1
Kansas,2009,9.5818,11
Kansas State,2009,7.62,10
Kent State,2009,-9.0636,11
Kentucky,2009,8.0818,11
LSU,2009,6.7833,12
Liberty,2009,13.8,1
Louisiana,2009,-7.0909,11
Louisiana Tech,2009,-2.1636,11
Louisville,2009,5.4364,11
Maine,2009,-2.8,1
Marshall,2009,-2.0182,11
Maryland,2009,6.5182,11
Massachusetts,2009,5.0,1
McNeese,2009,-22.2,1
Memphis,2009,0.8909,11
Miami,2009,8.0727,11
Miami (OH),2009,-2.3417,12
Michigan,2009,4.0727,11
Michigan State,2009,5.6818,11
Middle Tennessee,2009,-12.0833,12
Minnesota,2009,8.1455,11
Mississippi State,2009,13.1182,11
Mississippi Valley State,2009,-18.2,1
Missouri,2009,6.0,11
Missouri State,2009,16.0,1
Montana State,2009,8.7,1
Morgan State,2009,-17.8,1
Murray State,2009,0.6,1
NC State,2009,9.91,10
Navy,2009,-3.4333,12
Nebraska,2009,5.2154,13
Nevada,2009,-4.9,12
New Hampshire,2009,-17.3,1
New Mexico,2009,1.6083,12
New Mexico State,2009,-4.2833,12
Nicholls,2009,0.45,2
North Carolina,2009,8.23,10
North Carolina Central,2009,-6.1,1
North Dakota,2009,24.6,1
North Dakota State,2009,1.0,1
North Texas,2009,-12.6667,12
Northeastern,2009,12.7,1
Northern Arizona,2009,11.9,2
Northern Colorado,2009,8.0,1
Northern Illinois,2009,-9.0727,11
Northern Iowa,2009,17.3,1
Northwestern,2009,0.3091,11
Northwestern State,2009,0.2,2
Notre Dame,2009,5.0417,12
Ohio,2009,-6.6917,12
Ohio State,2009,2.925,12
Oklahoma,2009,12.9182,11
Oklahoma State,2009,8.2727,11
Ole Miss,2009,9.47,10
Oregon,2009,7.0,12
Oregon State,2009,5.4909,11
Penn State,2009,1.2364,11
Pittsburgh,2009,2.9273,11
Portland State,2009,12.6,1
Prairie View A&M,2009,-28.5,1
Purdue,2009,5.0083,12
Rhode Island,2009,5.4,1
Rice,2009,-1.2833,12
Richmond,2009,-6.1,1
Rutgers,2009,-0.62,10
SE Louisiana,2009,16.7,1
SMU,2009,-5.9727,11
Sacramento State,2009,-11.5,1
Sam Houston,2009,-1.1,1
Samford,2009,-5.4,1
San Diego State,2009,-2.3545,11
San José State,2009,0.2273,11
South Carolina,2009,11.5727,11
South Carolina State,2009,13.9,1
South Dakota State,2009,0.3,1
South Florida,2009,5.62,10
Southeast Missouri State,2009,18.2,1
Southern,2009,-23.8,1
Southern Illinois,2009,-6.1,1
Southern Miss,2009,-4.6364,11
Southern Utah,2009,-11.85,2
Stanford,2009,3.725,12
Stephen F. Austin,2009,-6.1,1
Syracuse,2009,5.1091,11
TCU,2009,-1.5455,11
Temple,2009,-11.7182,11
Tennessee,2009,6.7083,12
Tennessee Tech,2009,12.05,2
Texas,2009,4.9,13
Texas A&M,2009,5.9083,12
Texas Southern,2009,-6.25,2
Texas State,2009,25.6,1
Texas Tech,2009,5.6455,11
The Citadel,2009,8.5,1
Toledo,2009,-7.85,12
Towson,2009,-4.0,1
Troy,2009,-9.2917,12
Tulane,2009,-2.7273,11
Tulsa,2009,-4.2909,11
UAB,2009,-4.675,12
UC Davis,2009,12.0,2
UCF,2009,-2.5455,11
UCLA,2009,5.9917,12
UConn,2009,4.9909,11
UL Monroe,2009,-8.5273,11
UNLV,2009,1.2182,11
USC,2009,4.7083,12
UT Martin,2009,-14.4,1
UTEP,2009,-6.7333,12
Utah,2009,-3.2,12
Utah State,2009,-1.5455,11
VMI,2009,-21.7,1
Vanderbilt,2009,8.2273,11
Villanova,2009,-4.9,1
Virginia,2009,10.1091,11
Virginia Tech,2009,7.3917,12
Wake Forest,2009,6.1091,11
Washington,2009,7.4917,12
Washington State,2009,7.05,12
Weber State,2009,-9.45,2
West Virginia,2009,4.4,11
Western Carolina,2009,-5.5,1
Western Illinois,2009,-4.6,1
Western Kentucky,2009,-9.6182,11
Western Michigan,2009,-8.2455,11
William & Mary,2009,0.7,1
Wisconsin,2009,3.6909,11
Wofford,2009,9.85,2
Wyoming,2009,2.2636,11
Youngstown State,2009,17.9,1
Air Force,2010,-2.2091,11
Akron,2010,-5.4182,11
Alabama,2010,9.9364,11
Alcorn State,2010,10.6,1
App State,2010,14.0,1
Arizona,2010,10.1727,11
Arizona State,2010,12.37,10
Arkansas,2010,9.2182,11
