name,draft_year,position,college,conference_tier,combine_forty,combine_speed_score,games_college,production_score,draft_round,draft_grade,nfl_success,experience_years,pro_bowls,seasons_started,career_av,height_in,weight_lb,vertical,bench,broad_in,cone,shuttle,age
Courtney Brown,2000,DE,Penn State,2,4.78,49.23,,,1,0,1,6,0,4,27.0,77.0,269.0,,,,,,22.0
LaVar Arrington,2000,LB,Penn State,2,4.53,64.0,,,1,0,1,7,3,5,46.0,75.0,250.0,,,,,,22.0
Chris Samuels,2000,OT,Alabama,1,5.08,61.18,,,1,0,1,10,6,9,63.0,77.0,325.0,,,,,,23.0
Peter Warrick,2000,WR,Florida State,2,4.58,24.0,,,1,0,1,6,0,4,27.0,71.0,194.0,,,,,,23.0
Jamal Lewis,2000,RB,Tennessee,2,4.58,36.67,,,1,0,1,10,1,9,69.0,72.0,240.0,,23.0,,,,21.0
Corey Simon,2000,DT,Florida State,2,4.83,65.0,,,1,0,1,8,1,6,45.0,74.0,297.0,,,,,,23.0
Thomas Jones,2000,RB,Virginia,4,4.45,58.33,,,1,0,1,12,1,9,62.0,70.0,216.0,,,,,,22.0
Plaxico Burress,2000,WR,Michigan State,3,4.59,22.0,,,1,0,1,13,0,10,70.0,77.0,231.0,33.0,,115.0,,,23.0
Brian Urlacher,2000,LB,New Mexico,7,4.59,52.0,,,1,0,1,13,8,12,119.0,76.0,258.0,34.0,27.0,122.0,6.94,4.18,22.0
Travis Taylor,2000,WR,Florida,2,4.43,54.0,,,1,0,1,8,0,7,30.0,73.0,199.0,37.0,,118.0,7.15,,22.0
Ron Dayne,2000,RB,Wisconsin,3,4.65,25.0,,,1,0,0,8,0,1,23.0,71.0,259.0,,,,,,22.0
Shaun Ellis,2000,DE,Tennessee,2,4.85,38.46,,,1,0,1,12,2,11,70.0,76.0,280.0,,,,,,23.0
John Abraham,2000,DE,South Carolina,3,4.55,84.62,,,1,0,1,15,5,11,91.0,76.0,252.0,,,,,,22.0
Bubba Franks,2000,TE,Miami (FL),2,4.85,25.0,,,1,0,1,9,3,6,20.0,78.0,265.0,,,,,,22.0
Deltha O'Neal,2000,DB,California,4,4.6,22.22,,,1,0,1,9,2,6,45.0,71.0,193.0,,,,,,23.0
Julian Peterson,2000,LB,Michigan State,3,4.68,34.0,,,1,0,1,11,5,9,69.0,77.0,231.0,,,,,,22.0
Sebastian Janikowski,2000,K,Florida State,2,,,,,1,0,1,19,1,0,41.0,73.0,260.0,,,,,,22.0
Chad Pennington,2000,QB,Marshall,8,4.81,36.25,,,1,0,1,11,0,5,55.0,75.0,229.0,33.5,,111.0,7.12,4.16,24.0
Shaun Alexander,2000,RB,Alabama,1,4.58,36.67,,,1,0,1,9,3,7,68.0,72.0,218.0,,,,,,23.0
Stockar McDougle,2000,OT,Oklahoma,2,5.5,11.76,,,1,0,1,7,0,3,23.0,77.0,361.0,,24.0,,,,23.0
Sylvester Morris,2000,WR,Jackson State,10,4.6,20.0,,,1,0,0,1,0,1,6.0,75.0,216.0,34.5,,119.0,7.06,4.17,22.0
Chris McIntosh,2000,OT,Wisconsin,3,5.39,24.71,,,1,0,0,2,0,1,8.0,78.0,315.0,,28.0,,,,23.0
Rashard Anderson,2000,DB,Jackson State,10,4.55,33.33,,,1,0,0,2,0,1,6.0,74.0,206.0,34.0,,123.0,7.18,4.15,23.0
Ahmed Plummer,2000,DB,Ohio State,1,4.43,60.0,,,1,0,1,6,0,5,24.0,71.0,191.0,,,,,,24.0
Chris Hovan,2000,DT,Boston College,4,4.99,45.0,,,1,0,1,10,0,10,56.0,74.0,305.0,30.0,35.0,101.0,6.85,4.16,22.0
Erik Flowers,2000,DE,Arizona State,3,4.75,53.85,,,1,0,0,5,0,0,6.0,76.0,271.0,33.0,24.0,114.0,7.21,4.15,22.0
Anthony Becht,2000,TE,West Virginia,4,4.78,36.67,,,1,0,1,12,0,9,12.0,78.0,270.0,33.5,,123.0,6.94,4.08,23.0
Rob Morris,2000,LB,BYU,5,4.77,16.0,,,1,0,1,8,0,4,24.0,74.0,250.0,33.0,18.0,113.0,6.93,4.17,25.0
R. Jay Soward,2000,WR,USC,2,4.34,72.0,,,1,0,0,1,0,0,2.0,69.0,177.0,35.0,,124.0,,,22.0
Keith Bulluck,2000,LB,Syracuse,4,4.47,76.0,,,1,0,1,11,1,9,74.0,75.0,244.0,38.0,,119.0,7.33,4.13,23.0
Trung Canidate,2000,RB,Arizona,4,4.41,65.0,,,1,0,0,4,0,1,11.0,71.0,193.0,,18.0,,,,23.0
Dennis Northcutt,2000,WR,Arizona,4,4.43,54.0,,,2,0,1,10,0,3,41.0,70.0,175.0,37.5,,123.0,6.96,4.04,22.0
Darren Howard,2000,DE,Kansas State,4,5.09,1.54,,,2,0,1,10,0,6,42.0,76.0,281.0,29.0,,108.0,7.0,4.32,23.0
Mark Roman,2000,DB,LSU,1,4.55,33.33,,,2,0,1,10,0,7,38.0,71.0,188.0,,,,,,23.0
John Engelberger,2000,DE,Virginia Tech,3,4.73,56.92,,,2,0,1,9,0,5,31.0,76.0,260.0,34.0,24.0,115.0,6.95,4.28,23.0
Todd Pinkston,2000,WR,Southern Miss,10,4.45,50.0,,,2,0,1,5,0,4,25.0,74.0,169.0,,,,,,23.0
Travis Claridge,2000,OG,USC,2,5.15,53.33,,,2,0,1,4,0,3,23.0,77.0,303.0,31.5,29.0,100.0,7.77,4.86,22.0
Marvel Smith,2000,OT,Arizona State,3,5.37,27.06,,,2,0,1,9,1,7,44.0,77.0,320.0,27.5,24.0,100.0,7.87,4.83,22.0
Mike Brown,2000,DB,Nebraska,3,4.59,24.44,,,2,0,1,10,1,7,56.0,70.0,204.0,36.0,14.0,116.0,6.93,4.01,22.0
Ian Gold,2000,LB,Michigan,1,4.56,58.0,,,2,0,1,8,1,5,39.0,73.0,221.0,33.0,21.0,115.0,6.97,4.19,22.0
Raynoch Thompson,2000,LB,Tennessee,2,4.65,40.0,,,2,0,1,5,0,4,19.0,75.0,220.0,,,,,,22.0
Cornelius Griffin,2000,DT,Alabama,1,4.9,56.25,,,2,0,1,10,0,9,58.0,75.0,297.0,31.0,30.0,111.0,7.63,4.62,23.0
Rogers Beckett,2000,DB,Marshall,8,4.62,17.78,,,2,0,1,5,0,3,17.0,73.0,207.0,39.5,15.0,119.0,6.48,4.29,23.0
Chad Clifton,2000,OT,Tennessee,2,5.05,64.71,,,2,0,1,12,2,10,72.0,77.0,334.0,30.5,24.0,102.0,7.58,4.73,24.0
Kenoy Kennedy,2000,DB,Arkansas,3,4.71,0.0,,,2,0,1,8,0,7,34.0,73.0,221.0,33.5,8.0,113.0,7.08,4.38,22.0
Adrian Klemm,2000,OG,Hawaii,7,4.98,76.0,,,2,0,0,6,0,0,10.0,76.0,307.0,,24.0,,,,23.0
Jerry Porter,2000,WR,West Virginia,4,4.48,44.0,,,2,0,1,9,0,4,33.0,74.0,221.0,,,,,,22.0
Jason Webster,2000,DB,Texas A&M,2,4.42,62.22,,,2,0,1,9,0,5,26.0,69.0,180.0,35.5,17.0,122.0,6.76,3.98,22.0
Dwayne Goodrich,2000,DB,Tennessee,2,4.45,55.56,,,2,0,0,3,0,0,1.0,71.0,195.0,,,,,,22.0
Barrett Green,2000,LB,West Virginia,4,4.56,58.0,,,2,0,1,6,0,4,20.0,72.0,233.0,36.0,22.0,120.0,,,22.0
Cosey Coleman,2000,OG,Tennessee,2,5.4,20.0,,,2,0,1,7,0,6,35.0,76.0,322.0,28.0,,101.0,8.15,4.97,21.0
Ike Charlton,2000,DB,Virginia Tech,3,4.47,51.11,,,2,0,0,4,0,0,5.0,71.0,205.0,,16.0,126.0,,,22.0
Todd Wade,2000,OT,Ole Miss,3,5.22,44.71,,,2,0,1,8,0,7,41.0,80.0,326.0,27.5,29.0,101.0,7.68,4.68,23.0
William Bartee,2000,DB,Oklahoma,2,4.43,60.0,,,2,0,0,6,0,2,13.0,73.0,192.0,38.5,,124.0,6.7,3.99,23.0
Fred Robbins,2000,DT,Wake Forest,4,5.09,32.5,,,2,0,1,12,0,10,51.0,76.0,312.0,29.5,25.0,94.0,7.72,4.72,23.0
Michael Boireau,2000,DE,Miami (FL),2,5.09,1.54,,,2,0,0,0,0,0,0.0,76.0,274.0,29.0,26.0,105.0,7.68,4.49,
Deon Grant,2000,DB,Tennessee,2,4.5,44.44,,,2,0,1,12,0,10,56.0,74.0,209.0,,15.0,,,,21.0
Travares Tillman,2000,DB,Georgia Tech,3,4.6,22.22,,,2,0,0,8,0,1,13.0,73.0,194.0,37.5,15.0,123.0,6.95,4.29,22.0
Marcus Washington,2000,LB,Auburn,2,,,,,2,0,1,9,1,8,53.0,,,,,,,,22.0
Brad Meester,2000,C,Northern Iowa,10,5.12,64.0,,,2,0,1,14,0,14,74.0,75.0,298.0,34.0,25.0,110.0,7.46,4.43,23.0
Bobbie Williams,2000,OG,Arkansas,3,5.26,38.67,,,2,0,1,13,0,9,55.0,76.0,332.0,29.0,28.0,97.0,7.78,4.72,23.0
Jacoby Shepherd,2000,DB,Oklahoma State,3,4.53,37.78,,,2,0,0,4,0,0,1.0,73.0,195.0,35.0,5.0,120.0,,,21.0
Travis Prentice,2000,RB,Miami (OH),8,4.5,50.0,,,3,1,0,2,0,1,4.0,72.0,225.0,37.0,23.0,115.0,6.92,4.4,23.0
Lloyd Harrison,2000,DB,NC State,4,4.5,44.44,,,3,1,0,3,0,0,1.0,70.0,190.0,37.5,16.0,119.0,7.12,4.25,23.0
Giovanni Carmazzi,2000,QB,Hofstra,10,4.74,45.0,,,3,1,0,0,0,0,0.0,75.0,224.0,36.5,,119.0,6.94,4.23,
Ron Dugans,2000,WR,Florida State,2,4.58,24.0,,,3,1,0,3,0,0,6.0,73.0,206.0,,,117.0,,,23.0
Mark Simoneau,2000,LB,Kansas State,4,4.6,50.0,,,3,1,1,11,0,4,29.0,72.0,237.0,36.0,24.0,117.0,7.08,4.09,23.0
Erron Kinney,2000,TE,Florida,2,4.9,16.67,,,3,1,1,6,0,6,15.0,78.0,272.0,,,,,,23.0
Dez White,2000,WR,Georgia Tech,3,4.62,16.0,,,3,1,1,6,0,4,18.0,73.0,218.0,37.5,,124.0,6.91,4.09,21.0
Chris Cole,2000,WR,Texas A&M,2,4.37,66.0,,,3,1,0,4,0,0,1.0,72.0,191.0,37.5,,125.0,6.76,4.09,22.0
Darwin Walker,2000,DT,Tennessee,2,4.82,66.25,,,3,1,1,9,0,5,38.0,74.0,293.0,,,,,,23.0
Kendrick Clancy,2000,DT,Ole Miss,3,5.25,12.5,,,3,1,1,10,0,3,24.0,73.0,283.0,27.5,25.0,108.0,7.98,4.65,21.0
Ron Dixon,2000,WR,Lambuth,10,,,,,3,1,0,3,0,0,6.0,,,,,,,,24.0
Steve Warren,2000,DT,Nebraska,3,5.1,31.25,,,3,1,0,3,0,0,2.0,73.0,307.0,30.5,29.0,105.0,7.97,4.56,22.0
Chris Redman,2000,QB,Louisville,4,5.37,0.0,,,3,1,0,12,0,0,9.0,75.0,222.0,26.5,,98.0,7.8,4.78,23.0
J.R. Redmond,2000,RB,Arizona State,3,4.48,53.33,,,3,1,0,5,0,0,9.0,71.0,216.0,32.5,,121.0,,,22.0
Hank Poteat,2000,DB,Pittsburgh,3,4.57,28.89,,,3,1,0,10,0,1,16.0,70.0,197.0,37.0,16.0,126.0,6.66,4.0,23.0
Laveranues Coles,2000,WR,Florida State,2,4.41,58.0,,,3,1,1,10,1,9,68.0,71.0,192.0,34.0,,115.0,6.89,4.39,22.0
JaJuan Dawson,2000,WR,Tulane,6,4.55,30.0,,,3,1,0,3,0,0,5.0,73.0,199.0,34.0,,117.0,6.96,4.16,22.0
Darrell Jackson,2000,WR,Florida,2,4.56,28.0,,,3,1,1,9,0,7,55.0,72.0,197.0,,,,,,21.0
Reuben Droughns,2000,RB,Oregon,2,4.66,23.33,,,3,1,1,9,0,3,27.0,71.0,215.0,30.0,13.0,115.0,7.34,4.41,22.0
Leander Jordan,2000,OT,Indiana (PA),4,5.46,16.47,,,3,1,0,6,0,1,9.0,76.0,330.0,31.0,25.0,104.0,7.91,4.76,22.0
Damion McIntosh,2000,OT,Kansas State,4,5.31,34.12,,,3,1,1,10,0,8,38.0,76.0,328.0,26.0,23.0,97.0,7.72,4.71,23.0
Ben Kelly,2000,DB,Colorado,3,4.53,37.78,,,3,1,0,3,0,0,0.0,69.0,183.0,36.0,17.0,116.0,6.63,3.95,21.0
Greg Wesley,2000,DB,Ark-Pine Bluff,10,,,,,3,1,1,8,0,7,39.0,,,,,,,,22.0
Jeff Ulbrich,2000,LB,Hawaii,7,4.65,40.0,,,3,1,1,10,0,4,31.0,72.0,249.0,32.0,24.0,109.0,7.23,4.3,23.0
Dustin Lyman,2000,TE,Wake Forest,4,4.7,50.0,,,3,1,0,5,0,1,2.0,76.0,259.0,35.0,22.0,118.0,6.86,4.06,24.0
Doug Chapman,2000,RB,Marshall,8,4.56,40.0,,,3,1,0,4,0,0,3.0,70.0,215.0,38.5,16.0,128.0,6.84,4.2,23.0
Corey Moore,2000,LB,Virginia Tech,3,4.6,50.0,,,3,1,0,2,0,0,3.0,71.0,223.0,,21.0,,,,23.0
Nate Webster,2000,LB,Miami (FL),2,,,,,3,1,0,9,0,2,19.0,,,,,,,,22.0
David Macklin,2000,DB,Penn State,2,4.54,35.56,,,3,1,1,9,0,4,29.0,69.0,194.0,37.5,,120.0,6.9,4.09,22.0
T.J. Slaughter,2000,LB,Southern Miss,10,4.87,0.0,,,3,1,1,7,0,3,17.0,72.0,247.0,30.0,24.0,112.0,7.08,4.26,23.0
Byron Frisch,2000,DE,BYU,5,4.73,56.92,,,3,1,0,3,0,0,2.0,76.0,281.0,34.5,31.0,114.0,7.2,4.41,23.0
John St. Clair,2000,OT,Virginia,4,,,,,3,1,1,11,0,5,30.0,,,,,,,,23.0
Lewis Sanders,2000,DB,Maryland,4,4.5,44.44,,,4,1,0,9,0,0,14.0,72.0,202.0,37.0,10.0,116.0,,,22.0
Terrelle Smith,2000,FB,Arizona State,3,5.0,0.0,,,4,1,1,10,0,8,3.0,72.0,249.0,32.5,19.0,109.0,8.38,4.85,22.0
Curtis Keaton,2000,RB,James Madison,8,4.41,65.0,,,4,1,0,3,0,0,0.0,70.0,214.0,41.5,23.0,131.0,6.82,3.93,23.0
Na'il Diggs,2000,LB,Ohio State,1,4.66,38.0,,,4,1,1,12,0,10,55.0,76.0,231.0,,,,,,22.0
Gari Scott,2000,WR,Michigan State,3,4.59,22.0,,,4,1,0,2,0,0,0.0,72.0,194.0,33.5,,119.0,,,22.0
Michael Thompson,2000,OT,Tennessee State,2,5.28,37.65,,,4,1,0,3,0,0,3.0,76.0,305.0,26.0,16.0,104.0,7.99,4.73,23.0
Jerry Johnson,2000,DT,Florida State,2,5.03,40.0,,,4,1,0,2,0,0,1.0,72.0,293.0,28.5,26.0,102.0,,,23.0
David Barrett,2000,DB,Arkansas,3,4.44,57.78,,,4,1,1,9,0,6,31.0,70.0,199.0,37.5,16.0,116.0,6.81,4.04,22.0
Danny Farmer,2000,WR,UCLA,5,4.58,24.0,,,4,1,0,3,0,0,5.0,75.0,217.0,,,,,,23.0
Kaulana Noa,2000,OT,Hawaii,7,5.34,30.59,,,4,1,0,0,0,0,0.0,76.0,317.0,25.5,27.0,98.0,7.82,4.74,
Brandon Short,2000,LB,Penn State,2,4.72,26.0,,,4,1,1,7,0,5,32.0,75.0,252.0,,,,,,23.0
Antonio Wilson,2000,LB,Texas A&M-Commerce,2,4.56,58.0,,,4,1,0,3,0,0,2.0,74.0,245.0,,11.0,,,,22.0
Junior Ioane,2000,DT,Arizona State,3,5.12,28.75,,,4,1,0,6,0,0,4.0,75.0,324.0,,,,,,23.0
John Keith,2000,DB,Furman,9,,,,,4,1,0,4,0,0,3.0,,,,,,,,23.0
Kareem Larrimore,2000,DB,West Texas A&M,10,4.42,62.22,,,4,1,0,2,0,0,3.0,71.0,190.0,34.0,,125.0,,,24.0
Aaron Shea,2000,TE,Michigan,1,4.81,31.67,,,4,1,0,6,0,0,6.0,76.0,253.0,37.5,,114.0,6.72,4.3,23.0
Trevor Gaylor,2000,WR,Miami (OH),8,4.56,28.0,,,4,1,0,3,0,0,7.0,75.0,199.0,37.5,,121.0,7.03,4.29,22.0
Cooper Carlisle,2000,OG,Florida,2,5.16,52.0,,,4,1,1,13,0,8,54.0,77.0,297.0,31.0,28.0,100.0,7.82,4.48,23.0
Leonardo Carson,2000,DT,Auburn,2,5.06,36.25,,,4,1,0,5,0,2,16.0,73.0,283.0,28.0,22.0,106.0,7.82,4.75,23.0
Anthony Lucas,2000,WR,Arkansas,3,4.53,34.0,,,4,1,0,0,0,0,0.0,75.0,194.0,35.0,,121.0,,,
Frank Moreau,2000,RB,Louisville,4,4.57,38.33,,,4,1,0,2,0,0,1.0,73.0,231.0,36.0,23.0,117.0,,,23.0
Marcus Bell,2000,LB,Arizona,4,4.78,14.0,,,4,1,0,3,0,1,7.0,74.0,237.0,31.5,21.0,111.0,7.17,4.33,23.0
Deon Dyer,2000,FB,North Carolina,3,4.99,1.54,,,4,1,0,3,0,0,0.0,71.0,260.0,28.0,,104.0,7.88,4.81,22.0
Tyrone Carter,2000,DB,Minnesota,4,4.5,44.44,,,4,1,0,11,0,2,27.0,68.0,190.0,41.0,16.0,121.0,6.75,4.19,24.0
Isaiah Kacyvenski,2000,LB,Harvard,10,,,,,4,1,0,7,0,2,16.0,,,,,,,,22.0
Alvin McKinley,2000,DE,Mississippi State,3,5.09,1.54,,,4,1,1,8,0,3,22.0,76.0,289.0,27.5,22.0,102.0,7.73,4.61,22.0
Avion Black,2000,WR,Tennessee State,2,,,,,4,1,0,3,0,0,2.0,,,,,,,,23.0
Josh Williams,2000,DT,Michigan,1,4.9,56.25,,,4,1,0,6,0,2,19.0,75.0,282.0,30.5,,111.0,7.22,4.25,24.0
Joey Chustz,2000,OT,Louisiana Tech,5,5.08,61.18,,,4,1,0,0,0,0,0.0,79.0,304.0,31.0,28.0,103.0,7.65,4.65,
Bobby Myers,2000,DB,Wisconsin,3,4.56,31.11,,,4,1,0,2,0,0,3.0,73.0,183.0,37.5,,123.0,7.04,4.1,23.0
Reggie Austin,2000,DB,Wake Forest,4,4.44,57.78,,,4,1,0,3,0,0,3.0,69.0,175.0,35.0,17.0,119.0,7.03,4.14,23.0
Gary Berry,2000,DB,Ohio State,1,4.55,33.33,,,4,1,0,1,0,0,0.0,71.0,204.0,,,,,,22.0
Greg Randall,2000,OT,Michigan State,3,5.59,1.18,,,4,1,0,4,0,2,18.0,78.0,333.0,26.0,22.0,95.0,8.15,5.13,22.0
Peter Sirmon,2000,LB,Oregon,2,4.84,2.0,,,4,1,1,7,0,4,25.0,74.0,246.0,34.5,20.0,115.0,7.21,4.27,23.0
Michael Moore,2000,OG,Troy,8,,,,,4,1,0,5,0,0,1.0,,,,,,,,23.0
Anthony Malbrough,2000,DB,Texas Tech,4,4.44,57.78,,,5,2,0,1,0,0,1.0,69.0,184.0,35.5,20.0,117.0,6.73,4.0,23.0
Tutan Reyes,2000,OG,Ole Miss,3,5.37,24.0,,,5,2,0,9,0,2,19.0,75.0,299.0,26.5,20.0,99.0,7.49,4.88,22.0
Paul Smith,2000,RB,UTEP,6,4.65,25.0,,,5,2,0,8,0,0,3.0,71.0,220.0,,25.0,,,,22.0
Robert Bean,2000,DB,Mississippi State,3,4.5,44.44,,,5,2,0,3,0,0,5.0,71.0,178.0,34.5,,122.0,6.87,4.2,22.0
Anthony Midget,2000,DB,Virginia Tech,3,,,,,5,2,0,0,0,0,0.0,,,,,,,,
Aric Morris,2000,DB,Michigan State,3,4.56,31.11,,,5,2,0,4,0,1,5.0,69.0,211.0,,24.0,,,,23.0
Mao Tosi,2000,DT,Idaho,10,5.26,11.25,,,5,2,0,2,0,1,4.0,77.0,310.0,28.5,19.0,99.0,7.72,4.6,23.0
Clark Haggans,2000,LB,Colorado State,7,4.97,0.0,,,5,2,1,13,0,7,46.0,75.0,253.0,31.5,20.0,109.0,7.12,4.21,23.0
Matt Johnson,2000,OG,BYU,5,5.56,0.0,,,5,2,0,0,0,0,0.0,76.0,345.0,28.0,35.0,99.0,8.07,4.99,
Brian Young,2000,DT,UTEP,6,4.94,51.25,,,5,2,1,9,0,6,39.0,74.0,278.0,29.5,27.0,106.0,7.2,4.47,23.0
Ralph Brown,2000,DB,Nebraska,3,4.55,33.33,,,5,2,0,10,0,0,12.0,70.0,185.0,,10.0,,,,21.0
Dave Stachelski,2000,TE,Boise State,7,4.78,36.67,,,5,2,0,2,0,0,0.0,75.0,250.0,38.0,24.0,115.0,6.84,4.14,23.0
Shane Lechler,2000,P,Texas A&M,2,,,,,5,2,1,18,7,0,44.0,74.0,234.0,,,,,,24.0
Windrell Hayes,2000,WR,USC,2,4.5,40.0,,,5,2,0,2,0,0,1.0,71.0,204.0,,,,7.33,4.18,23.0
Michael Wiley,2000,RB,Ohio State,1,4.5,50.0,,,5,2,0,3,0,0,4.0,71.0,193.0,,,,,,22.0
Todd Franz,2000,DB,Tulsa,6,4.55,33.33,,,5,2,0,6,0,0,3.0,73.0,199.0,,14.0,,,,24.0
Lamar Chapman,2000,DB,Kansas State,4,,,,,5,2,0,2,0,0,1.0,,,,,,,,23.0
Gillis Wilson,2000,DE,Southern,10,,,,,5,2,0,2,0,0,1.0,,,,,,,,22.0
Richard Mercier,2000,OG,Miami (FL),2,5.39,21.33,,,5,2,0,0,0,0,0.0,75.0,295.0,26.0,18.0,97.0,7.84,4.78,
Kabeer Gbaja-Biamila,2000,DE,San Diego State,7,4.65,69.23,,,5,2,1,9,1,5,43.0,76.0,243.0,34.0,21.0,120.0,6.9,4.28,22.0
John Milem,2000,DE,Lenoir-Rhyne,10,,,,,5,2,0,2,0,0,1.0,,,,,,,,25.0
Joey Jamison,2000,WR,Texas Southern,2,,,,,5,2,0,0,0,0,0.0,,,,,,,,
Arturo Freeman,2000,DB,South Carolina,3,4.5,44.44,,,5,2,0,6,0,2,13.0,72.0,188.0,35.5,14.0,124.0,6.91,4.38,23.0
Dante Hall,2000,WR,Texas A&M,2,4.44,52.0,,,5,2,1,9,2,0,29.0,68.0,191.0,38.0,18.0,123.0,6.62,3.82,21.0
Muneer Moore,2000,WR,Richmond,9,4.52,36.0,,,5,2,0,0,0,0,0.0,73.0,201.0,37.5,,129.0,6.91,4.09,
Quincy Sanders,2000,DB,UNLV,10,,,,,5,2,0,0,0,0,0.0,,,,,,,,
Sammy Morris,2000,RB,Texas Tech,4,4.65,25.0,,,5,2,1,12,0,3,27.0,72.0,221.0,37.5,23.0,117.0,7.05,4.21,23.0
James Whalen,2000,TE,Kentucky,4,4.78,36.67,,,5,2,0,4,0,0,1.0,74.0,228.0,31.0,,110.0,7.42,4.22,22.0
Austin Wheatley,2000,TE,Iowa,3,4.66,56.67,,,5,2,0,1,0,0,0.0,76.0,254.0,32.5,,121.0,6.97,4.18,22.0
Kiwaukee Thomas,2000,DB,Georgia Southern,1,,,,,5,2,0,8,0,0,12.0,,,,,,,,23.0
Frank Chamberlin,2000,LB,Boston College,4,,,,,5,2,0,6,0,0,5.0,,,,,,,,22.0
Jeff Marriott,2000,DT,Missouri,4,,,,,5,2,0,0,0,0,0.0,,,,,,,,
Pat Dennis,2000,DB,La-Monroe,10,,,,,5,2,0,5,0,1,8.0,,,,,,,,22.0
Tee Martin,2000,QB,Tennessee,2,4.58,65.0,,,5,2,0,4,0,0,0.0,74.0,227.0,34.5,,113.0,,,22.0
Jay Tant,2000,TE,Northwestern,5,4.75,41.67,,,5,2,0,1,0,0,0.0,75.0,255.0,,31.0,,,,22.0
Troy Walters,2000,WR,Stanford,3,4.55,30.0,,,5,2,0,8,0,0,12.0,66.0,171.0,32.5,,106.0,6.61,3.84,23.0
Chad Morton,2000,RB,USC,2,4.5,50.0,,,5,2,0,7,0,0,10.0,68.0,182.0,36.0,18.0,121.0,,,23.0
Ernest Grant,2000,DT,Ark-Pine Bluff,10,5.31,5.0,,,6,2,0,3,0,0,3.0,77.0,316.0,29.5,24.0,98.0,8.0,5.03,24.0
Marc Bulger,2000,QB,West Virginia,4,4.97,16.25,,,6,2,1,10,2,8,57.0,74.0,208.0,,,100.0,7.46,4.34,23.0
Neil Rackers,2000,K,Illinois,4,,,,,6,2,1,12,1,0,29.0,,,,,,,,24.0
Frank Murphy,2000,WR,Kansas State,4,,,,,6,2,0,5,0,0,1.0,,,,,,,,23.0
Thomas Hamner,2000,RB,Minnesota,4,4.5,50.0,,,6,2,0,0,0,0,0.0,72.0,197.0,32.0,17.0,125.0,6.97,4.07,
Mareno Philyaw,2000,WR,Troy,8,4.66,8.0,,,6,2,0,1,0,0,0.0,74.0,205.0,39.5,,129.0,6.93,4.13,22.0
Chris Combs,2000,DE,Duke,4,5.16,0.0,,,6,2,0,3,0,0,1.0,77.0,286.0,,22.0,,,,23.0
Paul Edinger,2000,K,Michigan State,3,,,,,6,2,0,6,0,0,17.0,,,,,,,,22.0
James Williams,2000,WR,Marshall,8,4.59,22.0,,,6,2,0,4,0,0,4.0,71.0,180.0,36.0,,123.0,7.22,4.16,22.0
Jabari Issa,2000,DE,Washington,2,5.05,7.69,,,6,2,0,2,0,0,4.0,77.0,296.0,31.5,19.0,105.0,7.69,4.72,22.0
Dhani Jones,2000,LB,Michigan,1,4.68,34.0,,,6,2,1,11,0,9,54.0,73.0,240.0,,29.0,,,,22.0
John Frank,2000,DE,Utah,3,4.78,49.23,,,6,2,0,0,0,0,0.0,76.0,280.0,37.0,32.0,117.0,7.07,4.27,
Tony Scott,2000,DB,NC State,4,4.5,44.44,,,6,2,0,2,0,0,2.0,70.0,193.0,34.0,11.0,116.0,7.45,4.24,23.0
Mario Edwards,2000,DB,Florida State,2,4.46,53.33,,,6,2,1,5,0,3,22.0,72.0,191.0,,,120.0,,,24.0
Quinton Reese,2000,DE,Auburn,2,5.13,0.0,,,6,2,0,0,0,0,0.0,76.0,283.0,30.0,18.0,101.0,7.91,4.68,
Jeno James,2000,OG,Auburn,2,5.62,0.0,,,6,2,1,7,0,4,26.0,75.0,320.0,25.5,24.0,94.0,8.51,5.22,23.0
Spergon Wynn,2000,QB,Texas State,2,4.91,23.75,,,6,2,0,2,0,0,2.0,75.0,229.0,34.0,,108.0,7.71,4.59,22.0
Shannon Taylor,2000,LB,Virginia,4,4.65,40.0,,,6,2,0,4,0,0,4.0,75.0,249.0,34.5,,115.0,,,25.0
Tim Watson,2000,DT,Rowan,10,,,,,6,2,0,0,0,0,0.0,,,,,,,,
Adalius Thomas,2000,LB,Southern Miss,10,4.56,58.0,,,6,2,1,10,2,8,65.0,74.0,270.0,38.5,,120.0,,4.42,23.0
Antwan Harris,2000,DB,Virginia,4,4.34,80.0,,,6,2,0,4,0,0,5.0,69.0,186.0,39.0,16.0,121.0,6.75,4.01,23.0
Darnell Alford,2000,OG,Boston College,4,5.56,0.0,,,6,2,0,3,0,0,0.0,76.0,334.0,25.0,23.0,94.0,8.48,4.98,23.0
Mike Anderson,2000,RB,Utah,3,,,,,6,2,1,8,0,3,37.0,,,,,,,,26.0
John Hilliard,2000,DE,Mississippi State,3,,,,,6,2,0,3,0,0,6.0,,,,,,,,24.0
Cedric Woodard,2000,DT,Texas,2,5.21,17.5,,,6,2,0,5,0,2,14.0,74.0,290.0,30.5,23.0,109.0,,,23.0
John Romero,2000,C,California,4,,,,,6,2,0,0,0,0,0.0,,,,,,,,
David Gibson,2000,DB,USC,2,,,,,6,2,0,4,0,1,8.0,,,,,,,,22.0
Leif Larsen,2000,DT,UTEP,6,5.08,33.75,,,6,2,0,2,0,0,3.0,76.0,300.0,30.0,45.0,110.0,7.46,4.37,25.0
